îNåéì˙,ïΩãœãCâ∑(Åé),ïiéøèÓïÒ,ãœéøî‘çÜ
2020/1/1,6.6,8,1
2020/1/2,7.1,8,1
2020/1/3,7.1,8,1
2020/1/4,8.1,8,1
2020/1/5,6.5,8,1
2020/1/6,8.0,8,1
2020/1/7,6.6,8,1
2020/1/8,5.7,8,1
2020/1/9,11.2,8,1
2020/1/10,9.0,8,1
2020/1/11,8.0,8,1
2020/1/12,7.7,8,1
2020/1/13,9.1,8,1
2020/1/14,9.1,8,1
2020/1/15,7.8,8,1
2020/1/16,7.6,8,1
2020/1/17,7.6,8,1
2020/1/18,3.8,8,1
2020/1/19,7.3,8,1
2020/1/20,8.3,8,1
2020/1/21,7.7,8,1
2020/1/22,5.8,8,1
2020/1/23,6.4,8,1
2020/1/24,10.5,8,1
2020/1/25,8.4,8,1
2020/1/26,5.6,8,1
2020/1/27,5.5,8,1
2020/1/28,4.7,8,1
2020/1/29,12.8,8,1
2020/1/30,12.6,8,1
2020/1/31,8.9,8,1
2020/2/1,8.5,8,1
2020/2/2,8.9,8,1
2020/2/3,9.9,8,1
2020/2/4,8.8,8,1
2020/2/5,8.4,8,1
2020/2/6,3.3,8,1
2020/2/7,3.3,8,1
2020/2/8,6.9,8,1
2020/2/9,4.3,8,1
2020/2/10,5.2,8,1
2020/2/11,7.2,8,1
2020/2/12,10.0,8,1
2020/2/13,13.0,8,1
2020/2/14,12.2,8,1
2020/2/15,12.5,8,1
2020/2/16,9.6,8,1
2020/2/17,11.8,8,1
2020/2/18,8.4,8,1
2020/2/19,8.3,8,1
2020/2/20,9.3,8,1
2020/2/21,10.7,8,1
2020/2/22,13.2,8,1
2020/2/23,11.1,8,1
2020/2/24,10.2,8,1
2020/2/25,10.7,8,1
2020/2/26,8.5,8,1
2020/2/27,7.6,8,1
2020/2/28,7.2,8,1
2020/2/29,9.5,8,1
2020/3/1,12.3,8,1
2020/3/2,7.9,8,1
2020/3/3,11.4,8,1
2020/3/4,9.7,8,1
2020/3/5,9.6,8,1
2020/3/6,9.7,8,1
2020/3/7,7.7,8,1
2020/3/8,7.4,8,1
2020/3/9,13.3,8,1
2020/3/10,14.9,8,1
2020/3/11,16.2,8,1
2020/3/12,11.4,8,1
2020/3/13,13.1,8,1
2020/3/14,6.2,8,1
2020/3/15,7.6,8,1
2020/3/16,7.8,8,1
2020/3/17,8.3,8,1
2020/3/18,12.6,8,1
2020/3/19,14.9,8,1
2020/3/20,15.7,8,1
2020/3/21,14.5,8,1
2020/3/22,17.2,8,1
2020/3/23,10.5,8,1
2020/3/24,8.9,8,1
2020/3/25,9.8,8,1
2020/3/26,13.4,8,1
2020/3/27,15.9,8,1
2020/3/28,16.4,8,1
2020/3/29,4.1,8,1
2020/3/30,7.6,8,1
2020/3/31,10.3,8,1
2020/4/1,11.3,8,1
2020/4/2,14.3,8,1
2020/4/3,13.3,8,1
2020/4/4,16.0,8,1
2020/4/5,11.6,8,1
2020/4/6,12.5,8,1
